iter	Logloss
0	0.6909098993
1	0.6885662125
2	0.6863449375
3	0.6840114091
4	0.6821813573
5	0.6803556896
6	0.6783973382
7	0.676628608
8	0.6748353687
9	0.673246427
10	0.6720656648
11	0.6705389731
12	0.6692123469
13	0.6676982433
14	0.6666323713
15	0.6653541193
16	0.6642606644
17	0.6630339113
18	0.6615535328
19	0.6602573615
20	0.6591892737
21	0.6581033161
22	0.6569914892
23	0.6559077401
24	0.6551122907
25	0.6542825639
26	0.6533737395
27	0.652529506
28	0.652054453
29	0.6512616993
30	0.650509906
31	0.6495529141
32	0.648744522
33	0.6480120009
34	0.6470780812
35	0.6461121114
36	0.645448499
37	0.6451790669
38	0.6440816524
39	0.6434298754
40	0.6429064293
41	0.6423142509
42	0.6415375348
43	0.6411399436
44	0.6405197842
45	0.6400069155
46	0.6394984747
47	0.639112733
48	0.6384953261
49	0.6379625842
50	0.6376437965
51	0.637269011
52	0.6366541871
53	0.6364442542
54	0.6361206752
55	0.6355371924
56	0.6354336663
57	0.6350280877
58	0.6344061458
59	0.6338985796
60	0.6337893118
61	0.6336071088
62	0.6332021432
63	0.6325299712
64	0.6322781571
65	0.6317578792
66	0.6315268648
67	0.6310923201
68	0.6306478119
69	0.6302718742
70	0.6298062669
71	0.6294950298
72	0.6294416717
73	0.6290716727
74	0.6287175746
75	0.6285215391
76	0.6284012103
77	0.6280151374
78	0.6276762236
79	0.6272657795
80	0.626905381
81	0.6268765769
82	0.6265240742
83	0.6263401747
84	0.6261248462
85	0.6259072994
86	0.6256086084
87	0.625261817
88	0.6249550959
89	0.6245189781
90	0.6240145498
91	0.6237292078
92	0.6236412807
93	0.6229159277
94	0.6226529854
95	0.6225952116
96	0.6225015722
97	0.6222832722
98	0.6222031174
99	0.6217302516
100	0.6214425927
101	0.6212445276
102	0.6211854365
103	0.6209966842
104	0.6208541246
105	0.620702335
106	0.6206765906
107	0.6204412752
108	0.6204143518
109	0.6203083632
110	0.6199836688
111	0.619928087
112	0.619654447
113	0.6193836659
114	0.6192453861
115	0.6188617049
116	0.6185500725
117	0.6182787407
118	0.6182513604
119	0.6180426548
120	0.6176156372
121	0.617464553
122	0.6172324229
123	0.616764529
124	0.6165972757
125	0.6162169969
126	0.6161887803
127	0.6159147033
128	0.6156490825
129	0.6155552606
130	0.6153502579
131	0.6151508283
132	0.6150061941
133	0.61496429
134	0.6147537231
135	0.6144413985
136	0.6142817735
137	0.6140497898
138	0.613794072
139	0.6137644808
140	0.6135312649
141	0.6134350927
142	0.6134203792
143	0.6131925376
144	0.6130183638
145	0.612940343
146	0.6127560329
147	0.6127137781
148	0.6126614563
149	0.612539106
150	0.6125024622
151	0.6124741793
152	0.6124242437
153	0.6122432338
154	0.6121645414
155	0.6119926902
156	0.6119623269
157	0.6117296746
158	0.6114894283
159	0.6113521336
160	0.611153593
161	0.6110415133
162	0.6108021125
163	0.61072603
164	0.6107259058
165	0.6105626573
166	0.6105614598
167	0.6103090582
168	0.6101352939
169	0.6098801561
170	0.6097039524
171	0.6094844835
172	0.6094550914
173	0.6094070938
174	0.6090721449
175	0.6090379698
176	0.6087622638
177	0.608747685
178	0.6086818977
179	0.608680337
180	0.6083927272
181	0.6083547408
182	0.6083138597
183	0.6082934636
184	0.6082133102
185	0.6080684883
186	0.6078703561
187	0.6077898253
188	0.6076623026
189	0.6076622802
190	0.6076392029
191	0.607610536
192	0.6075155201
193	0.6072830486
194	0.6071480533
195	0.607111528
196	0.6068435539
197	0.6067377006
198	0.60643474
199	0.6063451653
200	0.6062199749
201	0.6061048706
202	0.6061044291
203	0.6056727255
204	0.6055026792
205	0.6053195683
206	0.6052985191
207	0.6050215812
208	0.6050069112
209	0.6049560175
210	0.6048423586
211	0.6048059006
212	0.6045429328
213	0.6044217886
214	0.6042749936
215	0.604047973
216	0.6039452415
217	0.6039292428
218	0.6038457785
219	0.6038119359
220	0.6037649819
221	0.6037549782
222	0.6037368639
223	0.6036001338
224	0.6035339129
225	0.6033149464
226	0.6033061438
227	0.6029635638
228	0.6028040933
229	0.6026945477
230	0.6024447221
231	0.6022753722
232	0.6021420015
233	0.6021316016
