iter	Logloss
234	0.6021213281
235	0.6018771983
236	0.6018481682
237	0.6017089455
238	0.6012280812
239	0.6011363265
240	0.6010738584
241	0.6010230928
242	0.6010230899
243	0.6005544043
244	0.6002128599
245	0.6000416316
246	0.5999577558
247	0.5997696963
248	0.5995112936
249	0.5995072393
250	0.5992829579
251	0.5992090597
252	0.5990329123
253	0.5988872105
254	0.5987744629
255	0.5984851965
256	0.5984719248
257	0.5983451843
258	0.5983014347
259	0.5981738543
260	0.5981549334
261	0.5979398716
262	0.5978474136
263	0.5974124692
264	0.5972499941
265	0.5972139032
266	0.5971181199
267	0.5970400362
268	0.5968480517
269	0.596813282
270	0.596349653
271	0.5961692656
272	0.5959696357
273	0.5956629229
274	0.5954563277
275	0.5954014826
276	0.5953324233
277	0.5952841031
278	0.5952251369
279	0.595151558
280	0.5949849426
281	0.5949529779
282	0.5946920181
283	0.5945043109
284	0.5943803521
285	0.5942797099
286	0.5941569246
287	0.594061942
288	0.5936007626
289	0.5931971299
290	0.5930727697
291	0.593056028
292	0.5930454041
293	0.5930320209
294	0.5928728021
295	0.5926679054
296	0.5924902891
297	0.5922276326
298	0.5921519379
299	0.5918672195
300	0.5916521753
301	0.5914105221
302	0.5912181603
303	0.5910155174
304	0.5906593981
305	0.5906394827
306	0.5904375783
307	0.5901739413
308	0.5899733672
309	0.5898077246
310	0.5895215325
311	0.5894211693
312	0.5893670808
313	0.5892733294
314	0.5887953392
315	0.5883994807
316	0.5882429495
317	0.5878352634
318	0.5874656441
319	0.5871901091
320	0.5871684251
321	0.5871076748
322	0.586619126
323	0.5865146824
324	0.5863176547
325	0.5862635221
326	0.5861463283
327	0.5856281781
328	0.5856104222
329	0.5855334387
330	0.5854975961
331	0.5848333007
332	0.5847638083
333	0.5844084852
334	0.5839378549
335	0.5838134318
336	0.5834914332
337	0.5834415243
338	0.5831232624
339	0.5830874531
340	0.5827623117
341	0.5826551829
342	0.5823930017
343	0.5820020277
344	0.581853454
345	0.5818402262
346	0.5814641939
347	0.5814148378
348	0.5809707775
349	0.5803215274
350	0.5802550808
351	0.5801080142
352	0.5800934906
353	0.5799947195
354	0.5799279037
355	0.5792731354
356	0.5785994492
357	0.5785447202
358	0.5781068966
359	0.5776866883
360	0.577447283
361	0.5771743269
362	0.5769104678
363	0.5764522756
364	0.5760761672
365	0.5760240462
366	0.5755761939
367	0.5755467235
368	0.5755254777
369	0.5752713192
370	0.5749648248
371	0.5746699837
372	0.5743260809
373	0.574162431
374	0.5737841198
375	0.5734036891
376	0.5733369855
377	0.5732852645
378	0.5732403622
379	0.5730280851
380	0.5728676037
381	0.5728454617
382	0.5727614759
383	0.5723671546
384	0.5720824889
385	0.5720384138
386	0.5715447053
387	0.571290818
388	0.5710650047
389	0.5709343871
390	0.5708813461
391	0.5708121868
392	0.5706218671
393	0.570121548
394	0.5695175781
395	0.5688415066
396	0.5685710645
397	0.5683515667
398	0.5678748812
399	0.567810175
400	0.5676087541
401	0.5672499945
402	0.5668175707
403	0.5664186071
404	0.5662063853
405	0.5659595522
406	0.5656641888
407	0.5654215423
408	0.5651276999
409	0.5648869408
410	0.5647194863
411	0.5645626779
412	0.5644322429
413	0.5642392834
414	0.5636484341
415	0.5632389422
416	0.5627211293
417	0.5624615549
418	0.5621669818
419	0.5620481553
420	0.5618979275
421	0.5617531321
422	0.5617248343
423	0.5612036931
424	0.5608809259
425	0.5608470406
426	0.5602804245
427	0.5599836543
428	0.5596829638
429	0.5596528061
430	0.5587600337
431	0.5581716778
432	0.5576314741
433	0.5574867989
434	0.5572281661
435	0.5568577017
436	0.5568436065
437	0.5566528329
438	0.5560916763
439	0.5560280518
440	0.5559524613
441	0.5556731704
442	0.5554646008
443	0.555161179
444	0.5551399948
445	0.5548374521
446	0.5548025417
447	0.5544986552
448	0.5539893185
449	0.5538584745
450	0.5536459245
451	0.5535038977
452	0.5531851495
453	0.5531629487
454	0.5528819825
455	0.5526948035
456	0.5521966185
457	0.551899541
458	0.5513961156
459	0.550975911
460	0.5506729066
461	0.5502483682
462	0.549891077
463	0.5497434967
464	0.549479318
465	0.5491558756
466	0.5488638409
467	0.5488139904
468	0.5485676923
469	0.5482638329
470	0.5479699046
471	0.5479078705
472	0.547817904
473	0.5475383849
474	0.5474981226
475	0.547184903
476	0.5470036845
477	0.5469734145
478	0.546641404
479	0.5465794436
480	0.5461976869
481	0.5460089231
482	0.5457788191
483	0.5457379596
484	0.5455882832
485	0.5455782349
486	0.5455051181
487	0.5452457065
488	0.5451641037
489	0.5450717381
490	0.5448976607
491	0.5446250328
492	0.5443422067
493	0.5442941191
494	0.5439155679
495	0.5438858873
496	0.5435463034
497	0.5434026686
498	0.5433002491
499	0.5432675857
500	0.5432083588
501	0.5430199979
502	0.5428246442
503	0.5426019599
504	0.5423623749
505	0.5420756475
506	0.5419695365
507	0.5418964793
508	0.5416951911
509	0.5414883302
510	0.541334397
511	0.5412504538
512	0.5410701243
513	0.5408515125
514	0.5406869587
515	0.5404023172
516	0.5401934051
517	0.5401375171
518	0.5399648887
519	0.5398020827
520	0.5397016199
521	0.5394465151
522	0.5391459327
523	0.53861928
524	0.5384409171
525	0.5383061897
526	0.5382616713
527	0.5380264876
528	0.5378576129
529	0.5375084709
530	0.5374587069
531	0.5371283223
532	0.5368795656
533	0.5368099039
534	0.536538202
535	0.5363559614
536	0.53594258
537	0.5358548037
538	0.5356607546
539	0.5354097669
540	0.5352186575
541	0.5349212032
542	0.5345964869
543	0.5345163856
544	0.5343637284
545	0.5342958231
546	0.5342576551
547	0.5341641944
548	0.5339762889
549	0.5337824959
550	0.5336938944
551	0.5335053146
552	0.5330401333
553	0.5330210464
554	0.5329651993
555	0.5327101977
556	0.5326658535
557	0.5326311012
558	0.5325439608
559	0.5323755566
560	0.5323627005
561	0.5322329482
562	0.5318819453
563	0.5318113111
564	0.5314800867
565	0.5313538579
566	0.5313392169
567	0.5311548284
568	0.5311084374
569	0.5310471355
570	0.5308926094
571	0.5304205618
572	0.5300009561
573	0.5298504056
574	0.5297781909
575	0.5297618848
576	0.5297084691
577	0.5296735519
578	0.5296490578
579	0.5294221467
580	0.5290422033
581	0.5289516734
582	0.5288780475
583	0.5286958301
584	0.5286833351
585	0.5286354362
586	0.5283858579
587	0.5280269386
588	0.5278340672
589	0.5276019137
590	0.5273608541
591	0.5270621563
592	0.5267886693
593	0.5265696422
594	0.5263776906
595	0.5261694091
596	0.5261033898
597	0.5260276144
598	0.5257256261
599	0.5256351887
